Using seeds: [7270, 860, 5390, 5191, 5734]
n: 500, d: 50
Run 1/5 with seed 7270
7270
cpu
Epoch 102: loss upper: -25.5649, hypergrad norm: 8.4961e-05,alpha: 13.4432, step time: 1.6320
Epoch 103: loss upper: -25.5649, hypergrad norm: 8.1693e-05,alpha: 13.4432, step time: 1.6577
Epoch 104: loss upper: -25.5649, hypergrad norm: 7.8590e-05,alpha: 13.4432, step time: 1.6477
Epoch 105: loss upper: -25.5649, hypergrad norm: 7.5627e-05,alpha: 13.4432, step time: 1.7395
Epoch 106: loss upper: -25.5649, hypergrad norm: 7.2810e-05,alpha: 13.4432, step time: 1.8073
Epoch 107: loss upper: -25.5649, hypergrad norm: 7.0102e-05,alpha: 13.4432, step time: 1.6826
Epoch 108: loss upper: -25.5649, hypergrad norm: 6.7508e-05,alpha: 13.4432, step time: 1.6524
Epoch 109: loss upper: -25.5649, hypergrad norm: 6.5034e-05,alpha: 13.4432, step time: 1.7585
Epoch 110: loss upper: -25.5649, hypergrad norm: 6.2675e-05,alpha: 13.4432, step time: 1.8146
Epoch 111: loss upper: -25.5649, hypergrad norm: 6.0416e-05,alpha: 13.4433, step time: 1.6949
Epoch 112: loss upper: -25.5649, hypergrad norm: 5.8261e-05,alpha: 13.4433, step time: 1.6941
Epoch 113: loss upper: -25.5649, hypergrad norm: 5.6190e-05,alpha: 13.4433, step time: 1.4809
Epoch 114: loss upper: -25.5649, hypergrad norm: 5.4206e-05,alpha: 13.4433, step time: 1.5634
Epoch 115: loss upper: -25.5649, hypergrad norm: 5.2320e-05,alpha: 13.4433, step time: 1.7962
Epoch 116: loss upper: -25.5649, hypergrad norm: 5.0508e-05,alpha: 13.4433, step time: 1.6331
Epoch 117: loss upper: -25.5649, hypergrad norm: 4.8769e-05,alpha: 13.4433, step time: 1.9458
Epoch 118: loss upper: -25.5649, hypergrad norm: 4.7097e-05,alpha: 13.4433, step time: 1.8525
Epoch 119: loss upper: -25.5649, hypergrad norm: 4.5508e-05,alpha: 13.4433, step time: 1.9301
Epoch 120: loss upper: -25.5649, hypergrad norm: 4.3978e-05,alpha: 13.4433, step time: 1.7567
Epoch 121: loss upper: -25.5649, hypergrad norm: 4.2504e-05,alpha: 13.4433, step time: 1.7581
Epoch 122: loss upper: -25.5649, hypergrad norm: 4.1107e-05,alpha: 13.4433, step time: 1.7875
Epoch 123: loss upper: -25.5649, hypergrad norm: 3.9743e-05,alpha: 13.4433, step time: 1.7781
Epoch 124: loss upper: -25.5649, hypergrad norm: 3.8438e-05,alpha: 13.4433, step time: 1.9016
Epoch 125: loss upper: -25.5649, hypergrad norm: 3.7198e-05,alpha: 13.4433, step time: 1.8780
Epoch 126: loss upper: -25.5649, hypergrad norm: 3.5997e-05,alpha: 13.4433, step time: 1.7898
Epoch 127: loss upper: -25.5649, hypergrad norm: 3.4849e-05,alpha: 13.4433, step time: 1.6761
Epoch 128: loss upper: -25.5649, hypergrad norm: 3.3747e-05,alpha: 13.4433, step time: 1.6531
Epoch 129: loss upper: -25.5649, hypergrad norm: 3.2676e-05,alpha: 13.4433, step time: 1.7379
Epoch 130: loss upper: -25.5649, hypergrad norm: 3.1648e-05,alpha: 13.4433, step time: 1.7425
Epoch 131: loss upper: -25.5649, hypergrad norm: 3.0677e-05,alpha: 13.4433, step time: 1.7627
Epoch 132: loss upper: -25.5650, hypergrad norm: 2.9729e-05,alpha: 13.4433, step time: 1.5955
Epoch 133: loss upper: -25.5650, hypergrad norm: 2.8821e-05,alpha: 13.4433, step time: 1.7929
Epoch 134: loss upper: -25.5649, hypergrad norm: 2.7943e-05,alpha: 13.4433, step time: 1.8172
Epoch 135: loss upper: -25.5649, hypergrad norm: 2.7097e-05,alpha: 13.4433, step time: 1.7001
Epoch 136: loss upper: -25.5649, hypergrad norm: 2.6283e-05,alpha: 13.4433, step time: 1.6842
Epoch 137: loss upper: -25.5650, hypergrad norm: 2.5503e-05,alpha: 13.4433, step time: 1.8731
Epoch 138: loss upper: -25.5650, hypergrad norm: 2.4750e-05,alpha: 13.4433, step time: 1.6474
Epoch 139: loss upper: -25.5649, hypergrad norm: 2.4021e-05,alpha: 13.4433, step time: 1.6304
Epoch 140: loss upper: -25.5650, hypergrad norm: 2.3317e-05,alpha: 13.4433, step time: 1.6022
Epoch 141: loss upper: -25.5650, hypergrad norm: 2.2647e-05,alpha: 13.4433, step time: 1.7686
Epoch 142: loss upper: -25.5650, hypergrad norm: 2.2000e-05,alpha: 13.4433, step time: 1.8232
Epoch 143: loss upper: -25.5650, hypergrad norm: 2.1367e-05,alpha: 13.4433, step time: 1.5616
Epoch 144: loss upper: -25.5650, hypergrad norm: 2.0764e-05,alpha: 13.4433, step time: 1.7497
Epoch 145: loss upper: -25.5650, hypergrad norm: 2.0178e-05,alpha: 13.4433, step time: 1.8140
Epoch 146: loss upper: -25.5650, hypergrad norm: 1.9610e-05,alpha: 13.4433, step time: 1.7510
Epoch 147: loss upper: -25.5650, hypergrad norm: 1.9068e-05,alpha: 13.4433, step time: 1.6798
Epoch 148: loss upper: -25.5650, hypergrad norm: 1.8545e-05,alpha: 13.4433, step time: 1.7466
Epoch 149: loss upper: -25.5650, hypergrad norm: 1.8033e-05,alpha: 13.4433, step time: 1.7139
Epoch 150: loss upper: -25.5650, hypergrad norm: 1.7545e-05,alpha: 13.4433, step time: 1.8847
Epoch 151: loss upper: -25.5650, hypergrad norm: 1.7069e-05,alpha: 13.4433, step time: 1.8199
Epoch 152: loss upper: -25.5650, hypergrad norm: 1.6615e-05,alpha: 13.4433, step time: 1.7112
Epoch 153: loss upper: -25.5650, hypergrad norm: 1.6167e-05,alpha: 13.4433, step time: 1.8186
Epoch 154: loss upper: -25.5650, hypergrad norm: 1.5736e-05,alpha: 13.4433, step time: 1.6137
Epoch 155: loss upper: -25.5650, hypergrad norm: 1.5331e-05,alpha: 13.4433, step time: 1.7977
Epoch 156: loss upper: -25.5650, hypergrad norm: 1.4926e-05,alpha: 13.4433, step time: 1.6316
Epoch 157: loss upper: -25.5650, hypergrad norm: 1.4545e-05,alpha: 13.4433, step time: 1.6809
Epoch 158: loss upper: -25.5650, hypergrad norm: 1.4163e-05,alpha: 13.4433, step time: 1.6833
Epoch 159: loss upper: -25.5650, hypergrad norm: 1.3803e-05,alpha: 13.4433, step time: 1.5126
Epoch 160: loss upper: -25.5650, hypergrad norm: 1.3453e-05,alpha: 13.4433, step time: 1.7207
Epoch 161: loss upper: -25.5650, hypergrad norm: 1.3110e-05,alpha: 13.4433, step time: 1.8796
Epoch 162: loss upper: -25.5650, hypergrad norm: 1.2779e-05,alpha: 13.4433, step time: 1.8224
Epoch 163: loss upper: -25.5650, hypergrad norm: 1.2464e-05,alpha: 13.4433, step time: 1.6829
Epoch 164: loss upper: -25.5650, hypergrad norm: 1.2155e-05,alpha: 13.4433, step time: 1.6182
Epoch 165: loss upper: -25.5650, hypergrad norm: 1.1857e-05,alpha: 13.4433, step time: 1.6866
Epoch 166: loss upper: -25.5650, hypergrad norm: 1.1567e-05,alpha: 13.4433, step time: 1.6851
Epoch 167: loss upper: -25.5650, hypergrad norm: 1.1299e-05,alpha: 13.4433, step time: 1.9427
Epoch 168: loss upper: -25.5650, hypergrad norm: 1.1016e-05,alpha: 13.4433, step time: 1.5839
